date_week,revenue,tv_spend,google_search_spend,tiktok_spend,promotion,time_index,baseline_true,trend_true,seasonality_true,promotion_contribution_true,tv_adstock_true,google_search_adstock_true,tiktok_adstock_true,tv_contribution_true,google_search_contribution_true,tiktok_contribution_true,mu_true,noise_true
2023-01-02,1159.1780145521018,22.01419342156388,44.13780623310752,6.861362640203083,0,0.0,1000.0,0.0,25.0,0.0,0.05840225747696432,0.4708044717459279,0.0686586225168835,10.500470641661634,103.0344847157765,9.236282186482628,1147.7712375439207,11.40677700818116
2023-01-09,1196.0800703649495,0.0,56.289425116525926,14.204555838136203,0,0.0064516129032258064,1000.0,0.5161290322580645,33.25528947032396,0.0,0.040881580233875024,0.6945829660059657,0.16960215941336754,7.35458764893073,123.61821514989983,22.41479582212003,1187.1590171235327,8.921053241416743
2023-01-16,1259.0686306447747,0.0,57.147405327267684,31.277272062605952,1,0.012903225806451613,1000.0,1.032258064516129,41.02564193578034,100.0,0.028617106163712516,0.7484904772011916,0.3808186975445521,5.1496734304773755,126.6441678314794,46.4634531229372,1320.3151943851904,-61.246563740415795
2023-01-23,1320.4354161934934,29.11378034092532,35.37438738215319,3.9275776838934506,1,0.01935483870967742,1000.0,1.5483870967741935,48.197748160112866,100.0,0.09726898513930483,0.5270258601422834,0.19162901250974462,17.45340829443348,109.67272372773567,25.180212081612577,1302.052479360669,18.382936832824484
2023-01-30,1320.3400672146765,112.15418159895482,40.651713542494576,17.527121656789795,0,0.025806451612903226,1000.0,2.064516129032258,54.66702268439404,0.0,0.36562621276504137,0.5390245598806984,0.25203776264406685,63.02881747845366,110.94643304077212,32.49167262734313,1263.1984619599953,57.14160525468122
2023-02-06,1356.9311852541969,7.570325891942345,43.05882577721918,20.36307281493643,1,0.03225806451612903,1000.0,2.5806451612903225,60.33912891852231,100.0,0.2760219428905391,0.5671002293958236,0.30457937215707737,48.45947687988448,113.74327587431073,38.47760775800425,1363.6001345920122,-6.668949337815243
2023-02-13,1234.968244388763,22.35462696655507,44.33271898809177,20.90273860991464,0,0.03870967741935484,1000.0,3.096774193548387,65.13135478113318,0.0,0.25252076608124296,0.5863035923340226,0.3309962129851846,44.51161552499022,115.51486455455942,41.3420094316415,1269.5966184858728,-34.62837409710987
2023-02-20,1256.1600243043856,40.47843545367805,39.84112318677215,14.938360957027086,0,0.04516129032258064,1000.0,3.6129032258064515,68.97381882799695,0.0,0.28415125555927756,0.5422337870567631,0.2818800590085598,49.81370265332462,111.27899575085249,35.93731880217219,1269.6167392601528,-13.456714955767268
2023-02-27,1336.9650241494032,0.0,49.43084746331582,2.410061867260881,1,0.05161290322580645,1000.0,4.129032258064516,71.81048928083484,100.0,0.1955391049684397,0.6357092748890707,0.1368234511005584,34.755202591546116,119.58543194399289,18.21611796882647,1348.4962740432647,-11.531249893861466
2023-03-06,1334.7590913241995,52.44101552753465,34.55425527738916,18.823234933201626,0,0.05806451612903226,1000.0,4.645161290322581,73.6000010968189,0.0,0.27600005821786,0.49571998442007476,0.2429920185976417,48.45582312968814,106.11659253167566,31.42449627621322,1264.2420743247183,70.51701699948121
2023-03-13,1239.2724547983084,49.030127055287345,52.60498670174392,4.599929355944532,0,0.06451612903225806,1000.0,5.161290322580645,74.31625916404244,0.0,0.32327385493123406,0.6602637309973214,0.14302115371188587,56.243547299772466,121.36810575501386,19.01700169886296,1276.1062042402723,-36.833749441963775
