date_week,revenue,tv_spend,google_search_spend,tiktok_spend,promotion,time_index
2023-01-02,1159.1780145521018,22.01419342156388,44.13780623310752,6.861362640203083,0,0.0
2023-01-09,1196.0800703649495,0.0,56.289425116525926,14.204555838136203,0,0.0064516129032258064
2023-01-16,1259.0686306447747,0.0,57.147405327267684,31.277272062605952,1,0.012903225806451613
2023-01-23,1320.4354161934934,29.11378034092532,35.37438738215319,3.9275776838934506,1,0.01935483870967742
2023-01-30,1320.3400672146765,112.15418159895482,40.651713542494576,17.527121656789795,0,0.025806451612903226
2023-02-06,1356.9311852541969,7.570325891942345,43.05882577721918,20.36307281493643,1,0.03225806451612903
2023-02-13,1234.968244388763,22.35462696655507,44.33271898809177,20.90273860991464,0,0.03870967741935484
2023-02-20,1256.1600243043856,40.47843545367805,39.84112318677215,14.938360957027086,0,0.04516129032258064
2023-02-27,1336.9650241494032,0.0,49.43084746331582,2.410061867260881,1,0.05161290322580645
2023-03-06,1334.7590913241995,52.44101552753465,34.55425527738916,18.823234933201626,0,0.05806451612903226
2023-03-13,1239.2724547983084,49.030127055287345,52.60498670174392,4.599929355944532,0,0.06451612903225806
2023-03-20,1273.0134566764232,0.0,39.67047324054161,24.892617381426632,0,0.07096774193548387
2023-03-27,1299.1052631649056,38.06784929173856,34.811965925061976,26.74767758510441,0,0.07741935483870968
2023-04-03,1303.6134667628419,0.0,45.33535733398609,21.430268836362167,0,0.08387096774193549
2023-04-10,1327.443780490643,0.0,49.354284913806254,58.22256904145917,0,0.09032258064516129
2023-04-17,1290.4586384999818,120.0,34.62770532539924,14.588587678671905,0,0.0967741935483871
2023-04-24,1250.4211994898267,12.978762341272901,47.26043720274056,3.1846854226920223,0,0.1032258064516129
2023-05-01,1253.9263845022988,37.27941808291973,57.64199337698354,14.752625417981948,0,0.10967741935483871
2023-05-08,1206.4106980321335,0.0,33.177704598797106,6.102190586253295,0,0.11612903225806452
2023-05-15,1213.3309265956389,19.471195089631706,49.2680471363855,7.223681023867694,0,0.12258064516129032
2023-05-22,1262.766819136854,76.96117346518994,43.17189923962805,26.39841424823094,0,0.12903225806451613
2023-05-29,1240.1241018889793,8.494674233093956,34.43357558726129,33.11041487425473,0,0.13548387096774195
2023-06-05,1222.6958046795753,5.843606668951677,55.99450103035322,20.51250327206504,0,0.14193548387096774
2023-06-12,1158.577354464875,0.0,35.79276097140259,20.7948883823342,0,0.14838709677419354
2023-06-19,1240.94061756752,69.24923125578563,47.91653909436436,29.048484022150657,0,0.15483870967741936
2023-06-26,1136.2142980659746,22.040771195473706,30.130517640863758,51.244872474224515,0,0.16129032258064516
2023-07-03,1189.6392302612785,52.64133001622026,55.56711512473889,15.821836102985507,0,0.16774193548387098
2023-07-10,1250.4202555357324,0.0,38.40473813665127,15.970952922727154,1,0.17419354838709677
2023-07-17,1108.8670150247767,0.0,33.33068445808951,3.92583296375954,0,0.18064516129032257
2023-07-24,1193.1551685386123,21.84534326654304,41.03630876631328,13.593950501697194,0,0.1870967741935484
2023-07-31,1184.1430321878804,45.53232623142488,24.136480770793526,41.541939414002364,0,0.1935483870967742
2023-08-07,1220.943032181079,66.04256503660531,49.76616297174699,38.45600710570905,0,0.2
2023-08-14,1143.9987877047013,0.0,46.32656172335469,10.091840694755959,0,0.2064516129032258
2023-08-21,1128.346078097907,11.11358145389953,38.31286311281362,13.63496658369705,0,0.2129032258064516
2023-08-28,1144.5539860560198,53.94568562292217,40.871649364216054,6.322589220276788,0,0.21935483870967742
2023-09-04,1189.115194585008,79.63617712947817,37.46750275558501,39.073864126546475,0,0.22580645161290322
2023-09-11,1229.5481615963888,66.29159727964387,58.62668490312492,23.03089196674842,0,0.23225806451612904
2023-09-18,1160.177255157858,0.0,31.93708625502634,49.03472780608439,0,0.23870967741935484
2023-09-25,1222.9251221578706,21.451607331821524,55.12070155335728,13.04025006468725,0,0.24516129032258063
2023-10-02,1261.4694492184008,105.62310753853552,50.02643495145768,60.0,0,0.25161290322580643
2023-10-09,1251.8136780487039,0.0,44.634109940676204,18.08829115139942,1,0.25806451612903225
2023-10-16,1171.5248833087537,6.292877560648272,42.234534143865254,31.728153955868333,0,0.2645161290322581
2023-10-23,1153.882865257875,51.2634451124406,38.528992329293615,16.160881024479444,0,0.2709677419354839
2023-10-30,1282.8529053887978,22.589639474281615,32.555293172687506,57.55038864670962,1,0.27741935483870966
2023-11-06,1344.2222252530294,30.860569509894155,36.89280026358562,10.948061583233333,1,0.2838709677419355
2023-11-13,1155.9335773212736,0.0,43.94411073007894,23.10897771551684,0,0.2903225806451613
2023-11-20,1175.1050915539424,50.12921961701859,40.97633595966272,24.056409363530342,0,0.2967741935483871
2023-11-27,1204.9617635196578,0.0,25.576956699928637,17.841437226590408,0,0.3032258064516129
2023-12-04,1182.9448027388137,50.93316057039324,39.55660113423841,4.6011983954875895,0,0.3096774193548387
2023-12-11,1196.3982895448812,47.39248244957819,43.96812565133897,13.463108866237985,0,0.3161290322580645
2023-12-18,1195.1279835373762,0.0,29.600403358992256,14.602863214294059,0,0.3225806451612903
2023-12-25,1249.4323161926197,41.434608876599874,54.261203567913256,4.57140601207389,0,0.32903225806451614
2024-01-01,1238.7659431204393,0.0,29.300529490718183,60.0,0,0.33548387096774196
2024-01-08,1299.1634682348815,0.0,41.592591086481626,60.0,0,0.3419354838709677
